id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
BR-112017002452-A2,conjunto de trilho com aquecedor de combustível ,Bosch Gmbh Robert,"Reissner Andreas, Bubeck Conrad",2014-08-12,2015-07-29,2017-12-05,,https://patents.google.com/patent/BR112017002452A2/pt,
BR-112019023208-A2,processo para preparação de uma composição aromatizante ,Firmenich & Cie,"Daugeron-Jouault Aude, Beaussoubre Pascal, FIEBER Wolfgang",2017-05-11,2018-05-08,2020-05-19,,https://patents.google.com/patent/BR112019023208A2/pt,
BR-102014031737-A2,método para a secagem de recipientes de transporte e/ou armazenagem de resíduo radiativo ,Gns Ges Für Nuklear Service Mbh,"Astrid Jussofie, Christoph Rirschl, Volker Ender",2013-12-20,2014-12-18,2015-09-22,,https://patents.google.com/patent/BR102014031737A2/pt,
BR-112012005872-A2,bactéria produtora de álcool isopropílico e método para produção de álcool isopropílico ,"Mitsui Chemicals, Inc.","Takashi Morishige, Hitoshi Takahashi, Nozomi Takebayashi, Mitsufumi Wada",2009-09-16,2010-09-13,2020-08-18,,https://patents.google.com/patent/BR112012005872A2/pt,
BR-112020025355-A2,ISOXAZOLYL ETHER DERIVATIVES AS GABA A ALPHA5 PAM ,F. Hoffmann-La Roche Ag,"Giuseppe Cecere, Andres Miguel Olivares Morales, Katrin Groebke Zbinden, Maria-Clemencia Hernandez, Henner Knust, Andreas Koblet, Angélique Patiny-Adam, Emmanuel Pinard, Valerie Runtz-Schmitt, Sandra Steiner",2018-06-13,2019-06-11,2021-03-09,,https://patents.google.com/patent/BR112020025355A2/en,
BR-PI0721060-A2,"Composto, processo para preparar o composto, medicamento, composição farmacêutica, e, uso de um composto ",Solvay Pharm Bv,"Josephus H M Lange, Cornelis G Kruse, Belal Shadid",2006-12-20,2007-12-19,2014-02-25,,https://patents.google.com/patent/BRPI0721060A2/pt,
BR-102018014329-A2,processo para fabricação de hidrogéis de quitosana e goma gelana e aplicações potenciais ,Universidade Tecnologica Federal Do Parana,"Alessandro Francisco Martins, Ariel Colaço De Oliveira, Brayan Medina, Bruno Henrique Vilsinski",2018-07-13,2018-07-13,2020-02-04,,https://patents.google.com/patent/BR102018014329A2/pt,
BR-PI0712305-A2,"compound, use thereof, pharmaceutical composition, and, methods for the therapy of functional gastrointestinal disorders and irritable bowel syndrome in a warm-blooded animal and for the preparation of a compound ",Astrazeneca Ab,"William Brown, Daniel Page, Sanjay Srivastava, Christopher Walpole, Zhong-Yong Wei, Hua Yang",2006-06-13,2007-06-11,2012-01-17,,https://patents.google.com/patent/BRPI0712305A2/en,
BR-112017001641-B1,"Mistura de reação de sacarificação, composição de enzima de sacarificação e método de produção de sacarídeo ",Nissan Chemical Industries Ltd,Kazutoshi Sekiguchi,2014-08-07,2015-07-28,2022-12-20,,https://patents.google.com/patent/BR112017001641B1/pt,https://patentimages.storage.googleapis.com/08/03/16/432b0eb3705b64/img0016.png
BR-112020026507-A2,"ISOTIAZOLE COMPOUND [5,4-D] PYRIMIDINES AS IRAK4 INHIBITOR ","Chia Tai Tianqing Pharmaceutical Group Co., Ltd., Medshine Discovery Inc.","Yang Zhang, Jianfei Wang, Haizhong TAN, Jie Li, Jian Li, Shuhui Chen",2018-06-25,2019-06-25,2021-03-23,,https://patents.google.com/patent/BR112020026507A2/en,
BR-PI0608629-A2,"composição de perfume, produto para consumo para a regulagem negativa da excitação, método para causar regulagem negativa da excitação em um indivìduo, e, uso de uma composição de perfume ou produto para consumo ",Quest Int Serv Bv,"Keith Douglas Perring, John Martin Behan, David Jonathan Bradshaw, Briony Care",2005-03-18,2006-03-17,2010-11-30,,https://patents.google.com/patent/BRPI0608629A2/pt,
BR-112021013848-A2,"Diéster de 1,3-propanodiol à base de plantas. ",Symrise Ag,"Martina König, Martina Issleib, Lars Jung",2019-01-15,2019-01-15,2021-09-21,,https://patents.google.com/patent/BR112021013848A2/pt,
BR-PI1105171-A2,Processo de obtenção de nanoprodutos a base de sílica ,"Unicamp, Iharabras S A Ind Quimicas","Fernando Aparecido Sigoli, Tabita Cristina Belini, Italo Odone Mazali",2011-12-13,2011-12-13,2014-05-27,,https://patents.google.com/patent/BRPI1105171A2/pt,
BR-102017018674-A2,Processo para obtenção de produto alimentício (cobertura em pasta) isento de açúcar ,"Daniela Correia Cavalcante Souza, Claudine Moura Lacerda, Rodrigo César Dantas Carvalho","Daniela Correia Cavalcante Souza, Claudine Moura Lacerda, Rodrigo César Dantas Carvalho",2017-08-31,2017-08-31,2019-03-19,,https://patents.google.com/patent/BR102017018674A2/pt,
BR-112015015501-B1,composição de limpeza de cabelo ,Kao Corp,"Tokunaga Shinichi, Morioka Tomoki, Sugai Yuko",2012-12-26,2013-12-12,2019-08-27,,https://patents.google.com/patent/BR112015015501B1/pt,
BR-112017008517-B1,"composições cosméticas, utilização da composição e método para o aprimoramento de, pelo menos, uma propriedade selecionada a partir de capacidade de manuseio duradoura, controle do volume e brilho dos cabelos ",L'oreal,"Roberta Moreira Renner, Leandro Valeriano De Carvalho, Divye Mykaella Carbonera",2014-12-16,2014-12-16,2020-11-03,,https://patents.google.com/patent/BR112017008517B1/pt,
BR-112012031966-A2,composição tópicas germicidas ,Reckitt Benckiser Llc,Zhu Yun-Peng,2010-06-16,2011-06-15,2018-03-20,,https://patents.google.com/patent/BR112012031966A2/pt,
BR-112021014943-A2,"Ésteres cerosos de etilenoglicol, dispersão de cera, uso dos ésteres, produto de limpeza cosmético para pele e cabelo, e, processo para a produção de um produto de limpeza cosmético ",Basf Se,"Claudia Stoer, Claus Nieendick, Markus Dierker, Ansgar Behler, Sybille Cornelsen, Werner Mauer",2019-02-27,2020-02-18,2021-09-28,,https://patents.google.com/patent/BR112021014943A2/pt,
BR-112019010362-B1,Processo de produção de ésteres (met)acrílicos e uso de um misturador estático ,Arkema France,"Fanny DUBUT, Marc Esch, Coralie Graire, Benoit RIFLADE",2016-12-08,2017-12-07,2023-09-26,,https://patents.google.com/patent/BR112019010362B1/pt,
BR-112014020221-B1,Álcoois Guerbet como substituto de Vaselina ,Basf Se,"Peter Kempers, Rolf Kawa, Stefan Brüning, Jadranka Milardovic, Eike Ulf Mahnke, Heinz-Josef Krüppel, Markus Dierker, Burkhard BECKENDAHL",2012-02-17,2013-02-07,2019-05-21,,https://patents.google.com/patent/BR112014020221B1/pt,
BR-112015030129-B1,Ésteres sulfatados de ácido oligohidróxi carboxílico e seu uso ,Basf Se,Basf Se,2013-06-03,2014-05-28,2020-09-29,,https://patents.google.com/patent/BR112015030129B1/pt,
BR-112020002821-B1,"Sistema emulsificante, produto de cuidados pessoais, método e uso ",Croda International Plc,"Elodie Bénard, Bhaven Chavan, Sean Philip Nigel Rouse",2017-08-10,2018-08-10,2023-02-07,,https://patents.google.com/patent/BR112020002821B1/pt,
BR-PI0900249-B1,controlador de motor de combustão interna ,Mitsubishi Motors Corp,"Yamamoto Hiroki, Ueda Katsunori, Kawakita Koji, Miyata Toshiyuki",2008-02-14,2009-01-30,2020-04-14,,https://patents.google.com/patent/BRPI0900249B1/pt,
BR-PI0905182-A2,composições estruturadas diluìdas que compreendem um álcool graxo ramificado ,Johnson & Johnson Consumer,"Euen T Gunn, Glenn A Nystrand, Michael J Fevola, Frank C Sun, Joseph J Librizzi",2008-12-22,2009-12-22,2011-03-22,,https://patents.google.com/patent/BRPI0905182A2/pt,
BR-112015029827-B1,composição cosmética não colorante e processo de tratamento cosmético ,L'oreal,"Marie-Florence D'ARRAS, Estelle Mathonneau",2013-06-03,2014-05-28,2020-12-08,,https://patents.google.com/patent/BR112015029827B1/pt,
BR-PI0808057-A2,""" processo para a produção de poliéster "". ",Eastman Chem Co,Bruce Roger Debruin,2007-03-08,2008-02-21,2014-07-01,,https://patents.google.com/patent/BRPI0808057A2/pt,
BR-112022026898-A2,Extração de material oleaginoso usando solvente de álcool ,Crown Iron Works Co,"Steven Martinson Wade, Wayne Floan Benjamin, Ollila Nicholas, Garritsen Jeff, Nelson Austin",2020-06-29,2021-06-29,2023-05-09,,https://patents.google.com/patent/BR112022026898A2/pt,
BR-102017002101-B1,Processo para a produção de um produto de padaria macio compreendendo a injeção de um solução hidroalcoólica no dito produto de padaria ,Barilla G. E R. Fratelli S.P.A,"Roberto Buttini, Corrado Ferrari, Giancarlo Riboldi",2016-02-01,2017-01-31,2023-02-28,,https://patents.google.com/patent/BR102017002101B1/pt,https://patentimages.storage.googleapis.com/ed/87/dc/ba02fd31261cf8/img0008.png
BR-102018010463-A2,"sistema de desmoldagem de peças cerâmicas fabricadas por freeze-casting, e sistema e método de resfriamento de molde para fabricação de peças cerâmicas por freeze-casting ","Petroleo Brasileiro Sa Petrobras, Statoil Brasil Oleo E Gas, Univ Federal De Minas Gerais Ufmg","Cordeiro Leite Vasconcelos Daniela, Fernandes De Souza Douglas, Henrique Martins Nunes Eduardo, Ferreira Do Nascimento Jailton, Wilhelmus Jacques Derks Peter, Luiz Vasconcelos Wander, Mantovani Grava Wilson",2018-05-23,2018-05-23,2019-12-10,,https://patents.google.com/patent/BR102018010463A2/pt,
BR-112020007897-A2,"compostos derivados de éter de 1,3-propileno para cuidado pessoal ","Croda, Inc.","Erik Gunderman, Paul Joseph Saporito, Joseph Nicholas Matt, Abel Goncalves Pereira",2017-11-01,2018-10-10,2020-10-20,,https://patents.google.com/patent/BR112020007897A2/pt,
BR-MU9102511-U2,equipamento modular para produÇço de Álcool hidratado ,Green Biorefineries Sa,Mallmann Eduardo Cauduro,2011-11-17,2011-11-17,2013-10-01,,https://patents.google.com/patent/BRMU9102511U2/pt,
BR-112020003405-A2,"artigo tubular flexível de múltiplas camadas, automóvel, método para reduzir lavagem química, e, uso de um artigo tubular flexível de múltiplas camadas ","Lubrizol Advanced Materials, Inc.",Chetan M. Makadia,2017-08-25,2018-08-22,2020-08-25,,https://patents.google.com/patent/BR112020003405A2/pt,
BR-112021014342-A2,Uso de um antagonista mglur5 para tratar tolerância a analgésico opioide ,Novartis Ag,"Richard Carl Elciario Dolmetsch, Fabrizio Gasparini, Baltazar Gomez-Mancilla",2019-01-29,2020-01-28,2021-09-21,,https://patents.google.com/patent/BR112021014342A2/pt,
BR-112015029787-B1,Composição cosmética não colorante e processo de tratamento cosmético ,L'oreal,"Marie-Florence D'ARRAS, Estelle Mathonneau",2013-06-03,2014-05-28,2020-09-29,,https://patents.google.com/patent/BR112015029787B1/pt,
BR-112019006334-B1,Composição cosmética capilar do tipo sem enxágue (leaveon) e método de tratamento capilar ,L'oreal,"Marina Tavares Gregolin, Ana Paula Leme De Magalhaes, Bruno Maiko Sato, Erika Alegrio Jarque Petali, Sintia Aguiar Martins",2016-09-30,2016-09-30,2021-11-09,,https://patents.google.com/patent/BR112019006334B1/pt,https://patentimages.storage.googleapis.com/18/96/0f/3e8bd21bb5e230/img0019.png
BR-112019006332-B1,"Composição cosmética capilar, método para mascarar o efeito de amarelamento de produtos de descoloração ou clareamento nos cabelos e método para proporcionar aos cabelos um ou mais efeitos de cuidados capilares ",L'oreal,"Marina Tavres Gregolin, Ana Paula Leme De Magalhães, Bruno Maiko Sato, Erika Alegrio Jarque Petali, Sintia Aguiar Martins",2016-09-30,2016-09-30,2021-09-28,,https://patents.google.com/patent/BR112019006332B1/pt,https://patentimages.storage.googleapis.com/48/cd/c4/3db982e384a848/img0020.png
BR-PI0711881-B1,síntese de hidroximetil fenóis substituídos ,Schwarz Pharma Ltd,"Michael Kilkelly, Roisin Browne",2006-05-31,2007-05-26,2016-09-27,,https://patents.google.com/patent/BRPI0711881B1/pt,
BR-PI1005513-B1,Processo para a co-produção de uma corrente de um álcool graxo tendo um primeiro comprimento de cadeia carbônica e uma corrente de um álcool graxo tendo um segundo comprimento de cadeia carbônica ,Davy Process Technology Limited,"Hugh Mckinley Donald, George Hiles Andrew, Umberto Andersson Rikard, Richard Hensman John",2009-04-07,2010-03-30,2018-05-22,,https://patents.google.com/patent/BRPI1005513B1/pt,
BR-112019022833-A2,Método de produção para não hidrato de ácido 1-amino ciclopropano carboxílico ,"Sumitomo Chemical Company, Limited","Kawamura Mitsunobu, Okamoto Hiroaki",2017-05-08,2018-05-02,2020-05-26,,https://patents.google.com/patent/BR112019022833A2/pt,
BR-PI0615581-A2,processo para a produção de envoltórios de cápsula moles isentos de gelatina ,Basf Se,"Karl Kolter, Maximilian Angel, Jan-Peter Mitttwollen, Kathrin Meyer-Boehm, Simone Schillo",2005-09-09,2006-08-31,2012-12-11,,https://patents.google.com/patent/BRPI0615581A2/pt,
BR-PI0803283-A2,sensor eletrÈnico para determinação do teor de álcoois em hidrocarbonetos ,Univ Estadual De Maringa,"Emerson Marcelo Girotto, Andrelson Wellington Rinaldi, Alberto Zanelli",2008-09-26,2008-09-26,2010-06-08,,https://patents.google.com/patent/BRPI0803283A2/pt,
BR-PI0721539-A2,mÉtodo para melhorar a qualidade da carne ao reduzir o odor de cachaÇo ,Fahim Techbology Inc,Min Wang,2007-04-18,2007-04-18,2013-01-22,,https://patents.google.com/patent/BRPI0721539A2/pt,
BR-102015007401-A2,Stable and fluid silicone capsule formulation ,International Flavors & Fragrances Inc,"Lei Yabin, Xu Li, Joyce Carol",2015-04-01,2015-04-01,2017-11-21,,https://patents.google.com/patent/BR102015007401A2/pt,
BR-102019027016-B1,Processo para geração de correntes renováveis a partir de bio-óleo ,Petróleo Brasileiro S.A. - Petrobras,"Adriano Do Couto Fraga, Andrea De Rezende Pinho, Luiza Torres Abrantes, Jefferson Roberto Gomes, Jose Luiz Zotin, Iris Medeiros Junior, Vitor Loureiro Ximenes, Marlon Brando Bezerra De Almeida",2019-12-17,2019-12-17,2023-10-17,,https://patents.google.com/patent/BR102019027016B1/pt,
BR-112016006672-B1,Composições de cabelo compreendendo polímeros de silicone de baixa viscosidade ,The Procter & Gamble Company,"Michael Albert Snyder, Martha Jane Weaver",2013-09-27,2014-09-16,2021-03-30,,https://patents.google.com/patent/BR112016006672B1/pt,
BR-102015032607-A2,Production of insoluble exopolissacaríde ,Universidade Federal Da Bahia,"Fernando De Almeida Paulo, Maciel Paulo Elinalva, Karla Felicíssimo Gonçalves Kenya, Ricardo De Abreu Roque Milton, Oliveira Damião Bittencourt Aldinéia",2015-12-17,2015-12-17,2017-06-20,,https://patents.google.com/patent/BR102015032607A2/pt,
BR-102019021864-A2,"COMPOSITION, PRODUCTION PROCESS AND USE OF NUTRITIVE SWEETENERS AND BLENDS ","Ivo Rischbieter, Ronaldo Biondo","Ivo Rischbieter, Ronaldo Biondo",2019-10-17,2019-10-17,2021-04-27,,https://patents.google.com/patent/BR102019021864A2/en,
BR-112015018657-B1,processo em um único reator para a produção de biodiesel e misturas de glicerol éter úteis como biocombustíveis ,Consiglio Nazionale Delle Ricerche,"Giovanni Nicolosi, Carmelo Drago, Leonarda Francesca Liotta, Valeria LA PAROLA, Maria Luisa Testa",2013-02-05,2014-02-04,2021-01-12,,https://patents.google.com/patent/BR112015018657B1/pt,https://patentimages.storage.googleapis.com/f6/73/43/4a24b6ebbdbd13/img0006.png
BR-112015022723-B1,"composição de surfactante, herbicida solúvel em água, líquido de limpeza de superfície dura, mistura e processo ",Stepan Company,"Randal J. Bernhardt, Aaron Brown, Gregory P. Dado, Xue Min Dong, Wilma Gorman, Ronald A. Masters, Patti Skelton, David R. Allen",2013-03-13,2014-03-05,2020-07-28,,https://patents.google.com/patent/BR112015022723B1/pt,
BR-112017008308-B1,"Lente oftálmica com deformação reduzida, seu processo de fabricação, utilização de uma composição de resina na fabricação de lente oftálmica funcional e método para minimizar a deformação de uma lente funcional ",Essilor International,"Séverine Tisne, Steven Weber, Aref Jallouli, Hao Wen Chiu, Paresh Kitchloo",2014-11-20,2014-11-20,2022-12-06,,https://patents.google.com/patent/BR112017008308B1/pt,https://patentimages.storage.googleapis.com/aa/51/50/7f683a6b4d1560/img0005.png
BR-112016029337-B1,processo para a preparação de um catalisador de alcoxilação ,Sasol (Usa) Corporation,"Kenneth L. Matheson, Kip Sharp, Teresa L. Marino, Shane F. Cutrer, Allan B. Hauser, Tamra R. Weemes, Steve C. Lyons, Geoffrey Russell, Qisheng Wu, Harald Kohnz, Ollie M. James, Cecil C. Mercy, Herbert Olin Perkins",2014-06-17,2015-06-17,2021-05-25,,https://patents.google.com/patent/BR112016029337B1/pt,https://patentimages.storage.googleapis.com/a3/73/a1/42bb9f28621aa8/img0001.png
BR-112016022378-B1,Processo para o preparo de agente espumante com alto ponto de fulgor ,Godavari Biorefineries Limited,"Ravindra Gadhe, Shanul Pagar, Sangeeta Srivastava",2014-03-28,2015-03-27,2021-06-29,,https://patents.google.com/patent/BR112016022378B1/pt,
BR-102020006183-A2,Composição de fluido ácido divergente para estimulação de reservatório por acidificação matricial ,"Universidade Estadual De Campinas - Unicamp, Petróleo Brasileiro S/A - Petrobras","Renato Nunes De Souza, Manazael Zuliani Jora, Matheus Da Silva Barbosa, Edvaldo Sabadini, Carlos Speglich",2020-03-26,2020-03-26,2021-09-28,,https://patents.google.com/patent/BR102020006183A2/pt,https://patentimages.storage.googleapis.com/fc/ef/0a/e252b66b3b0a8e/img0018.png
BR-PI0606831-A2,"processo de preparação de copolìmero de álcool vinìlico-n-vinilamina altamente solúvel em água, copolìmero obtido e seu uso ",Erkol S A,"Esteban Juan Carlos Rodriguez, Carracedo Alfredo Seco, Vall Maria Del Carmen Palau, Joseba Inaki Iragorri Sainz",2005-02-04,2006-01-26,2009-07-21,,https://patents.google.com/patent/BRPI0606831A2/pt,
BR-102020002064-A2,USE OF NANOFLUID FOR REMOVAL OF OIL AND SALTS IN SAMPLES OF ROCKS OF PETROLEUM SYSTEMS ,Petróleo Brasileiro S.A. - Petrobras,"Humberto Eustaquio Lopes, Gerson Felizardo De Sousa Junior, Carmen Lucia Da Silva Teixeira, Marcia Cristina Khalil De Oliveira",2020-01-30,2020-01-30,2021-08-10,,https://patents.google.com/patent/BR102020002064A2/en,https://patentimages.storage.googleapis.com/37/90/e0/7cd6e1a372fa74/img0004.png
BR-PI1100845-A2,Preparação de emplastro e método de produção do mesmo ,Nitto Denko Corp,"Sachiko Sakamoto, Akinori Hanatani, Arimichi Okazaki, Hitoshi Akemi, Yoshihiro Iwao, Kensuke Matsuoka",2010-03-30,2011-03-30,2015-01-06,,https://patents.google.com/patent/BRPI1100845A2/pt,
BR-112016021836-B1,"Terpolímero, uso de um terpolímero, e processo para obtenção de terpolímeros ",Instituto Mexicano Del Petróleo,"Mirna PONS JIMÉNEZ, Raúl HERNÁNDEZ ALTAMIRANO, José Manuel Martínez Magadan, Alejandro RAMÍREZ ESTRADA, Luis Silvestre Zamudio Rivera",2014-03-25,2015-03-13,2021-11-03,,https://patents.google.com/patent/BR112016021836B1/pt,https://patentimages.storage.googleapis.com/73/23/af/31fce42b5b31c3/img0037.png
BR-PI0900355-B1,Hydrodynamic attachment reducers for biofuels ,Universidade Estadual De Campinas - Unicamp,"Sabadini Edvaldo, Roberta Francisco Kelly",2009-01-21,2009-01-21,2017-12-26,,https://patents.google.com/patent/BRPI0900355B1/pt,
BR-MU9002030-U2,"automotive ignition cables for gaseous fuel vehicles, gas gnv-gnc-glp and automotive ignition cables for liquid fuel vehicles gasoline and alcohol (ethanol) ",Genaro Casamayou Antesana,Genaro Casamayou Antesana,2010-07-28,2010-07-28,2012-12-11,,https://patents.google.com/patent/BRMU9002030U2/en,
BR-PI1100969-A2,processo para carregar um produto polimérico com agente(s) que confere(m) atributos ,Aditya Birla Sci & Tech Co Ltd,"Preeti Lodha, Bir Kapoor, Tushar Mahajan, Sahoo Anasuya",2008-09-12,2011-03-14,2012-06-19,,https://patents.google.com/patent/BRPI1100969A2/pt,
BR-PI0800576-A2,processo de produção de hidrogênio através da reforma a vapor de etanol e dispositivo para efetuar o processo ,Cemig Geracao E Transmissao S A,"Jose Luz Silveira, Reis Joaquim Antonio Dos, Luiz Carlos Martinelli Jr, Silva Marcio E Evaristo Da, Santos Rodolfo Dos, Maria Isabel Sosa",2008-01-11,2008-01-11,2011-10-11,,https://patents.google.com/patent/BRPI0800576A2/pt,
BR-PI0804230-A2,motor de combustão interna operável com etanol ,Bosch Gmbh Robert,David Moessner,2007-10-10,2008-10-08,2009-06-16,,https://patents.google.com/patent/BRPI0804230A2/pt,
BR-PI1004970-A2,"pasta fluida mineral, e, mÉtodo para preparar uma pasta fluida mineral ","Dow Global Technologies Inc, Angus Chemical","Asghar Akber Peera, Glen Robinson, Ian Tomlinson",2009-12-22,2010-12-21,2013-03-26,,https://patents.google.com/patent/BRPI1004970A2/pt,
BR-PI0804083-B1,processo de purificação de biodiesel ,Petroleo Brasileiro S A - Petrobras,"Manoel Goja Ferreira André, Machado Da Silva Ferreira Bianca, Alberto Dias Da Silva Carlos, Nagib Khalil Carlos, De Vico Rodolfo",2008-09-04,2008-09-04,2017-02-14,,https://patents.google.com/patent/BRPI0804083B1/pt,
BR-PI0811859-B1,"Sal monoclorídrico de um inibidor de histona desacetilase, seu uso e processo de preparação ",Janssen Pharmaceutica N.V.,"Julius W.J. Dickens, Ioannes Nicolaos Houpis, Yolande Lydia Lang, Carina Leys, Sigrid Carl Maria Stokbroekx, Johan Erwin Edmond Weerts",2007-05-14,2008-05-13,2020-02-11,,https://patents.google.com/patent/BRPI0811859B1/pt,
BR-PI1003090-A2,"composição para tintas, vernizes e tìneres de impressão ",Oxiteno Sa Ind E Comercio,"Carlos Roberto Tomassini, Fabio Rosa, Gilberto Silva, Nadia Andrade Armelin",2010-08-31,2010-08-31,2012-05-29,,https://patents.google.com/patent/BRPI1003090A2/pt,
BR-122017001932-A2,"Método de conversão de um intermediário a um produto, produto e sistemas de processamento de estoque de alimentação de biomassa ","Xyleco, Inc.",Medoff Marshall,2008-04-30,2009-04-28,2018-02-06,,https://patents.google.com/patent/BR122017001932A2/pt,
BR-PI1003200-B1,Processo de produção e uso de óxidos de nióbio com propriedades ácidas e oxidantes a partir de fontes de nióbio de baixo custo ,"Universidade Federal De Lavras, Fundação De Amparo Á Pesquisa Do Estado De Minas Gerais - Fapemig","Luiz Carlos Alves De Oliveira, Francisco Guilherme Esteves Nogueira, André Esteves Nogueira",2010-08-13,2010-08-13,2018-07-10,,https://patents.google.com/patent/BRPI1003200B1/pt,
BR-PI1002618-A2,usina de biodiesel didática e simulação industrial ,Biominas Ind De Derivados Oleaginosos Ltda,Alex Nogueira Brasil,2010-04-16,2010-04-16,2012-01-17,,https://patents.google.com/patent/BRPI1002618A2/pt,
BR-PI0823497-A2,Processo de uso de dirigível no controle de incêndios florestais e irrigação ,Gomes Da Silva Sebastião,"Magnabosco Marra Brener, Gomes Da Silva Sebastião",2008-10-14,2008-10-14,2018-03-13,,https://patents.google.com/patent/BRPI0823497A2/pt,
BR-PI0904539-B1,Aparelho de controle de veículo automotivo ,Toyota Jidosha Kabushiki Kaisha,Taichi Nishimura,2008-11-27,2009-11-27,2021-03-30,,https://patents.google.com/patent/BRPI0904539B1/pt,https://patentimages.storage.googleapis.com/94/41/11/0d7e58b2c4486f/img0001.png
BR-PI0803210-A2,produto e processo de preparação de vidros pela reação de coacervação de polifosfatos em solução aquosa à temperatura ambiente ,Univ Fed De Juiz De Fora,"Oliveira Luiz Fernando Cappa De, Silva Mauricio Antonio Pereira Da, Younes Messaddeq, Sidney Jose Lima Ribeiro",2008-08-14,2008-08-14,2010-06-08,,https://patents.google.com/patent/BRPI0803210A2/pt,
BR-PI0713928-B1,"Bata-maltose cristalina anidra, sua preparação e seus usos ","Hayashibara Co., Ltd","Tetsuya Ohashi, Hajime Aga, Tetsuya Nakada, Toshio Miyake",2006-07-06,2007-07-05,2022-04-12,,https://patents.google.com/patent/BRPI0713928B1/pt,https://patentimages.storage.googleapis.com/23/f2/07/392f09a7ae8e48/img0009.png
BR-PI0908664-A2,"peptìdeos com atividade antimicrobiana, composições medicamentosas para o tratamento e profilaxia de animais, composições para o tratamento e profilaxia de plantas, usos de ditos peptìdeos e usos do extrato de paenibacillus elgii ourofinensis com atividade antimicrobiana ","Uniao Brasiliense De Educacao E Cultura Ubec, Ouro Fino Saude Animal Ltda","Araujo Janaina Fernadez De, Castro Alinne Pereira De, Lucas Carvalho, Octavio Luis Franco, Adriane Kurokawa Silva, Ricardo Henrique Kruger, Carlos Henrique Henrique",2009-11-17,2009-11-17,2012-02-22,,https://patents.google.com/patent/BRPI0908664A2/pt,
BR-PI0900869-B1,Processo de desacidificação de óleos e gorduras por extração líquido-líquido e processo de purificação de biodiesel e de tratamento do reagente alcoólico ,Universidade Estadual De Campinas - Unicamp,"Antonio José De Almeida Meirelles, Christianne Elisabete Da Costa Rodrigues, Cintia Bernardo Gonçalves, Eduardo Augusto Caldas Batista, Marcel Eiki Katekawa",2009-04-17,2009-04-17,2024-04-30,,https://patents.google.com/patent/BRPI0900869B1/pt,
BR-PI0921723-A8,processo de transesterificação de óleos hidroxilados ,Arkema France,"Martino-Gauchi Georges, Devaux Jean-François, Balouin Jean-Yves, Iafrate Patrice",2008-11-10,2009-11-10,2019-02-05,,https://patents.google.com/patent/BRPI0921723A8/pt,
BR-PI0718480-B1,Processo para a preparação de pradofloxacina ,Bayer Intellectual Property Gmbh,"Thomas Adam, Ralf Wischnat, Klaus Weidemann",2006-10-20,2007-10-06,2021-04-13,,https://patents.google.com/patent/BRPI0718480B1/pt,
BR-PI0809061-B1,processo para produção de perfumes e colônias e purificação de álcool ,Assessa Indústria Comércio E Exportação Ltda,Daniel Weingart Barreto,2008-12-18,2008-12-18,2016-05-10,,https://patents.google.com/patent/BRPI0809061B1/pt,
BR-PI0718263-A2,Dmae como agente único para o tratamento de déficit cognitivo leve ,Pf Medicament,"Pierre Fabre, Christophe Przybylski, Bruno Dubois",2006-10-31,2007-10-31,2014-01-07,,https://patents.google.com/patent/BRPI0718263A2/pt,
BR-PI0803465-A2,bioquerosene e processo de obtenção do mesmo ,Unicamp,"Maria Regina Wolf Maciel, Rubens Maciel Jr, Cesar Benedito Batistella, Silva Nivea De Lima Da",2008-09-11,2008-09-11,2011-05-17,,https://patents.google.com/patent/BRPI0803465A2/pt,
BR-PI0705087-A2,produção de corante vermelho de beterraba ,Camas Eloy Marini,Camas Eloy Marini,2007-11-06,2007-11-06,2009-07-07,,https://patents.google.com/patent/BRPI0705087A2/pt,
BR-PI0713345-B1,processo para produção de composto de álcool ,Sumitomo Chemical Co,"Shinzo Seko, Toru Sakamoto",2006-07-04,2007-07-03,2016-09-20,,https://patents.google.com/patent/BRPI0713345B1/pt,
BR-PI0705564-B1,"Sistema do tipo cristal líquido contínuo contendo co-solvente portador de substâncias fracamente solúveis em água, seu processo de obtenção e seus usos ",Embrapa - Empresa Brasileira De Pesquisa Agropecuária,Cláudia Conti Medugno,2007-10-10,2007-10-10,2020-09-15,,https://patents.google.com/patent/BRPI0705564B1/pt,https://patentimages.storage.googleapis.com/87/ee/60/8706a9891c2c65/img0002.png
BR-PI0713347-B1,processo para produção de composto de álcool ,Sumitomo Chemical Co,"Shinzo Seko, Toru Sakamoto",2006-07-04,2007-07-03,2016-10-04,,https://patents.google.com/patent/BRPI0713347B1/pt,
BR-PI0702140-B1,"Processo de fracionamento, purificação e refino de cera de cana-de-açúcar ","Megh - Industria E Comércio Ltda, Usina São Francisco S.A., Universidade Estadual De Campinas","Cláudia Helena Ribeiro Do Rozário, Daniel Barrera Arellano, Glauco Mariano Teixeira, Ricardo Motta Dittmer, Jairo Menesis Balbo, José Antonio Ghiaraldini",2007-06-28,2007-06-28,2022-07-19,,https://patents.google.com/patent/BRPI0702140B1/pt,
